exp_id,predictor,cv_protocol,cv_mean,public_lb,gap,notes
baseline_p30,sample_submit.csv (= sum gmv last 30d),clean-anchors/re-selected,2.2468,2.12,+0.1268,first calibration point; see DATA.md 9.4
probe_zeros,all zeros,n/a,3.3053,3.28,-0.0253,E[L^2]=10.7584
probe_const10,constant 10.0,n/a,2.3421,2.32,-0.0221,"E[L]=2.3199 Var[L]=5.3763; => test corr(L,M)=0.577"
e0001,LightGBM base 62 feats,frozen 5 folds,1.77847,1.6766,+0.1019,delta vs p30 transferred at 93.4%; gap narrowed from +0.1330
e0020,"LightGBM 185 feats, fixed 178 rounds, all anchors",frozen 5 folds,1.76638,1.6578,+0.10858,beat the ~1.6644 projection; 3rd calibration point
e0021_gifters_stat,"e0020 x1.1 on 20,242 statistical-shift gifters",n/a (untestable on CV),1.76638,,,"PRE-REGISTERED: expect 1.6572 if real, 1.6580 if not; LB 2sd noise 0.0118 so not decisive"
e0022_gifters_clf,"e0020 x1.1 on 25,000 classifier-selected gifters (AUC 0.715)",n/a (untestable on CV),1.76638,,,"PRE-REGISTERED: same expectation; overlap with e0021 only 1,646 users"
e0049,"LightGBM 665 feats (core + sbc minus sbcmoment), fixed 178 rounds",frozen 5 folds,1.76551,1.6562,+0.10931,"beat the 1.6570 projection; 4th calibration point. Paired vs e0020: CV -0.00087 -> LB -0.00160, i.e. 1.84x AMPLIFIED not 93% attenuated"
e0060,"LightGBM 400 feats (null-importance top400 of 809), fixed 178 rounds",frozen 5 folds,1.76547,1.6567,+0.10877,"WORSE than e0049 on LB (+0.0005) despite better CV (-0.00004). The CV delta was 0.4 sigma -- inside the noise floor. Confirms CLAUDE.md 3.4: sub-2sigma deltas do not transfer, in either direction."
e0064,AutoGluon WeightedEnsemble_L2_FULL on e0060's 400 features (LightGBMXT+LightGBM+RF),frozen 5 folds (4 done),1.76901,1.6559,+0.11311,"NEW BEST. Beat e0049 by -0.0003 despite being built on e0060's feature set, which had itself lost 0.0005 to e0049. Predicted 1.6564 and it scored 1.6559 -- a model-FAMILY change transferred at ~4.4x, far above the 1.56-1.84x seen between LightGBM variants."
e0101,"GRU d128x2 on 13 raw daily channels, no engineered features",frozen 5 folds,1.76458,,,"PRE-REGISTERED. First LB point for the nn_seq family. vs e0064 (CV 1.76519 / LB 1.6559) the paired CV delta is -0.00061 winning 3/5; at the 1.5-1.8x feature-change rate expect ~1.6549-1.6548, at the 4.4x model-family rate ~1.6532. Submit ALONGSIDE e0120: without it a disappointing e0120 cannot be attributed to the blend vs the family."
e0120,"50/50 log-blend of gbdt (e0049,e0064) and seq (7 members) families",frozen 5 folds,1.7628,1.6553,+0.1075,"PRE-REGISTERED. Paired vs e0064: CV -0.00239 winning 5/5 folds (-0.00365/-0.00288/-0.00256/-0.00144/-0.00145), >12 sigma_noise(nn_seq)=0.0002. Projection: 1.6523 at 1.5x, 1.6516 at 1.8x, 1.6454 at the 4.4x rate a model-family change transferred at. Top-1 is 1.6485, so this submission discriminates between the two regimes. LB 2sd noise is 0.0118 -- a single point cannot confirm a 0.004 move, only a 0.010 one. RESULT 1.6553: NEW BEST LB but the projection FAILED. dCV -0.00239 -> dLB -0.00060 = 0.25x", where every previous significant delta ran 1.5-1.8x. My error was projecting from the 5-fold MEAN when the per-fold deltas are monotone (-0.00365 -0.00288 -0.00255 -0.00144 -0.00145): EXPERIMENTS.md 3.2 says to report the last fold separately and flag disagreement, and I averaged it away. Fold-4-based projection would have been -0.0022/-0.0026, still short of -0.00060. Bootstrap says a paired 50k-user delta has sd 0.00038, so the shortfall is 4.6 sigma and NOT sampling. Ruled out by measurement: cut-off distance (seq degrades +0.00065/100d vs GBDT +0.00428/100d -- seq is 6.6x MORE robust), sequence-length extrapolation (cropping the input to the trained length HURTS +0.004..+0.018), family convergence at test (corr 0.9968 CV -> 0.9964 test), prediction-spread collapse (sd ratio 1.013 -> 1.011). Decomposition: of the -0.00240 CV delta," -0.00042 is gbdt-side averaging and -0.00198 is the seq family; on fold 4 alone the seq part is already only -0.00119. Observed LB gain equals the gbdt-side part alone at 1.5x (-0.00062). Next: submit e0120s (pure seq family) -- the only measurement that separates 'the blend gain decays' from 'the seq family does not transfer'."""
e0140,"CAUSAL_EXP variant A: GRU on 4 gmv features, user-split CV, 3 seeds on full data",user-split 5-fold (NOT comparable),1.74797,1.6552,,rho 0.70068. A FOUR-FEATURE model lands within 0.0017 of the 665-feature LightGBM (0.70235). The clearest single piece of evidence that features were never the binding constraint.
e0141,"CAUSAL_EXP variant B: GRU on 85 features (no calendar), user-split CV, 3 seeds",user-split 5-fold (NOT comparable),1.74341,1.6488,,"rho 0.70345. NEW BEST at the time, -0.0065 on e0120 -- but see e0150: e0141 has a LOWER rho than e0120 (0.70345 vs 0.70400) and won purely on the level term. Its log-mean (2.3412) happened to sit near the truth's (2.3199) while e0120's (2.4789) was 0.159 too high."
e0142,CAUSAL_EXP variant C: B + recency/dispersion/ratios/trend/expanding/CALENDAR (143 feat),user-split 5-fold (NOT comparable),1.74280,1.6785,,"rho 0.70083. BEST on user-split CV, WORST on LB. Predicted before submission from a -0.410 log-mean shift; cause is the day-of-year features, which map the test anchor (doy 44) onto Feb-Mar 2025, the lowest-GMV stretch in the series, and so apply 2025's February level to 2026. The user-split CV cannot see this -- exactly the 'calendar artefact is scored as skill' caveat CAUSAL_EXP.md 4 raises about itself."
e0150,"e0141 + e0120 equal-weight log blend, affine-calibrated to the probe-solved truth moments",n/a (LB-derived),,1.64670,,"NEW BEST. Predicted 1.64610 in closed form with NO free parameters; actual 1.64670, error +0.0006. Calibration hit its targets (mu 2.3202 vs 2.3199 target, sd 1.6327 vs 1.6330); the residual is a rho shortfall (predicted 0.70429, realised 0.70401), i.e. the blend gain was 0.0003 smaller than projected. Sits EXACTLY on its rho ceiling -- no post-processing can improve it further."
e0151,"e0141+e0120 blend, SHIFT-ONLY calibration (probe constants only, no rho)",n/a (LB-derived),,1.64748,,"Predicted 1.64694, actual 1.64748. The decorrelated-risk partner for e0150: it leans on nothing but mu_L/sd_L. Costs +0.00078 vs e0150, which is the measured value of the spread correction -- 4x what I projected."
e0152,"non-negative optimal blend over all 10 scored submissions, affine-calibrated",NONE (weights fitted on LB),,1.646697,,"Predicted 1.64620, actual 1.646697 -- a TIE with e0150 (-0.000003). Nine free weights fitted to ten LB observations over predictors correlating at 0.99, and they bought nothing. NO validation set at all; violates CLAUDE.md rule 7. Do NOT select as a final: same score as e0150, far more LB-fitted parameters, and the private set is 200k different users."
e0090,"LightGBM Optuna-tuned v1 space (lr 0.0151, leaves 133, mdl 1614, ff 0.383, 587 rounds), 665 feats",frozen 5 folds,1.76469,1.655247,+0.109443,"first hyperparameter tuning in ~90 experiments. dCV -0.00082 vs e0049 -> dLB -0.00095, transfer 1.16x. Projected 1.6557, actual 1.655247 (error -0.00045, inside the +-0.0006 band). Gap stable: 0.10931 -> 0.10944."
